,LAPTOP,window,storage,size
0,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"<li class=""rgWa7D"">Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>"
1,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>"
2,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">256 GB SSD</li>","<li class=""rgWa7D"">35.56 cm (14 inch) Display</li>"
3,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Ho...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">1 TB HDD|256 GB SSD</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>"
4,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>"
5,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">256 GB SSD</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>"
6,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">43.94 cm (17.3 Inch) Display</li>"
7,ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graph...,"<li class=""rgWa7D"">64 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">35.56 cm (14 inch) Touchscreen Display</li>"
8,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB71...,"<li class=""rgWa7D"">32 bit Windows 11 Operating System</li>","<li class=""rgWa7D"">512 GB SSD</li>","<li class=""rgWa7D"">35.56 cm (14 inch) Display</li>"
9,ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,"<li class=""rgWa7D"">Chrome Operating System</li>","<li class=""rgWa7D"">29.46 cm (11.6 inch) Touchscreen Display</li>","<li class=""rgWa7D"">1 Year Onsite Warranty</li>"
